Months,Mean Max Temperature,Mean Min Temperature,Mean Rainfall,Number of clear days,Number of cloudy days,Daily sunshine hours,Wind Speed,Humidity
Jan,28.5,16.5,20,12.3,7.3,10.2,10,53
Feb,28.5,16.8,20.7,11,6.7,9.6,8.7,54
Mar,26,15.2,24,10.5,9.5,8.2,8.6,58
Apr,22.1,12.7,44.3,6.7,13.4,6.3,9.1,61
May,18.6,10.4,68,4.6,16.4,4.9,8.2,71
Jun,15.8,8.4,71.2,4.2,15.1,4.5,8.5,79
Jul,14.9,7.5,66.6,3.2,17.5,4.2,9.5,78
Aug,16.1,8,61.6,3.5,15.4,5.3,11.6,70
Sep,18.4,9.2,51.1,5.2,13.6,6.2,13.5,62
Oct,21.3,11.1,44.5,6,14.2,7.4,13.7,55
Nov,24.4,13.1,30.7,6,11.7,8.6,11.9,54
Dec,26.8,15.1,26.3,8.2,10.6,9.1,11.5,52
